Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3195,11.0,11,,,,,,
,,,,,3198,3.0,3,,,,,,
,,,,,3202,4.0,4,,,,,,
,,,,,3207,5.0,5,,,,,,
,,,,,3211,4.0,4,,,,,,
,,,,,3214,3.0,3,,,,,,
,,,,,3218,4.0,4,,,,,,
,,,,,3228,10.0,10,,,,,,
,,,,,3240,12.0,12,,,,,,
,,,,,3244,4.0,4,,,,,,
,,,,,3248,4.0,4,,,,,,
,,,,,3254,6.0,6,,,,,,
,,,,,3266,12.0,12,,,,,,
,,,,,3271,5.0,5,,,,,,
,,,,,3280,9.0,9,,,,,,
,,,,,3285,5.0,5,,,,,,
,,,,,3308,23.0,23,,,,,,
,,,,,3313,5.0,5,,,,,,
,,,,,3318,5.0,5,,,,,,
,,,,,3324,6.0,6,,,,,,
,,,,,3331,7.0,7,,,,,,
,,,,,3337,6.0,6,,,,,,
,,,,,3341,4.0,4,,,,,,
,,,,,3345,4.0,4,,,,,,
,,,,,3352,7.0,7,,,,,,
,,,,,3355,3.0,3,,,,,,
,,,,,3365,10.0,10,,,,,,
,,,,,3373,8.0,8,,,,,,
,,,,,3380,7.0,7,,,,,,
,,,,,3384,4.0,4,,,,,,
,,,,,3388,4.0,4,,,,,,
,,,,,3391,3.0,3,,,,,,
,,,,,3403,12.0,12,,,,,,
,,,,,3409,6.0,6,,,,,,
,,,,,3428,19.0,19,,,,,,
,,,,,3432,4.0,4,,,,,,
,,,,,3440,8.0,8,,,,,,
,,,,,3448,8.0,8,,,,,,
,,,,,3461,13.0,13,,,,,,
,,,,,3470,9.0,9,,,,,,
,,,,,3478,8.0,8,,,,,,
,,,,,3482,4.0,4,,,,,,
,,,,,3487,5.0,5,,,,,,
,,,,,3493,6.0,6,,,,,,
,,,,,3504,11.0,11,,,,,,
,,,,,3511,7.0,7,,,,,,
,,,,,3516,5.0,5,,,,,,
,,,,,3531,15.0,15,,,,,,
,,,,,3534,3.0,3,,,,,,
,,,,,3544,10.0,10,,,,,,
,,,,,3548,4.0,4,,,,,,
,,,,,3555,7.0,7,,,,,,
,,,,,3565,10.0,10,,,,,,
,,,,,3569,4.0,4,,,,,,
,,,,,3579,10.0,10,,,,,,
,,,,,3594,15.0,15,,,,,,
,,,,,3599,5.0,5,,,,,,
,,,,,3613,14.0,14,,,,,,
,,,,,3617,4.0,4,,,,,,
,,,,,3621,4.0,4,,,,,,
,,,,,3629,8.0,8,,,,,,
,,,,,3635,6.0,6,,,,,,
,,,,,3639,4.0,4,,,,,,
,,,,,3648,9.0,9,,,,,,
,,,,,3656,8.0,8,,,,,,
,,,,,3661,5.0,5,,,,,,
,,,,,3676,15.0,15,,,,,,
,,,,,3682,6.0,6,,,,,,
,,,,,3691,9.0,9,,,,,,
,,,,,3698,7.0,7,,,,,,
,,,,,3702,4.0,4,,,,,,
,,,,,3707,5.0,5,,,,,,
,,,,,3714,7.0,7,,,,,,
,,,,,3725,11.0,11,,,,,,
,,,,,3729,4.0,4,,,,,,
,,,,,3737,8.0,8,,,,,,
,,,,,3743,6.0,6,,,,,,
,,,,,3767,24.0,24,,,,,,
,,,,,3785,18.0,18,,,,,,
,,,,,3790,5.0,5,,,,,,
,,,,,3806,16.0,16,,,,,,
,,,,,3821,15.0,15,,,,,,
,,,,,3825,4.0,4,,,,,,
,,,,,3831,6.0,6,,,,,,
,,,,,3836,5.0,5,,,,,,
,,,,,3841,5.0,5,,,,,,
,,,,,3844,3.0,3,,,,,,
,,,,,3850,6.0,6,,,,,,
,,,,,3855,5.0,5,,,,,,
,,,,,3858,3.0,3,,,,,,
,,,,,3872,14.0,14,,,,,,
,,,,,3886,14.0,14,,,,,,
,,,,,3890,4.0,4,,,,,,
,,,,,3895,5.0,5,,,,,,
,,,,,3899,4.0,4,,,,,,
,,,,,3913,14.0,14,,,,,,
,,,,,3922,9.0,9,,,,,,
,,,,,3926,4.0,4,,,,,,
,,,,,3930,4.0,4,,,,,,
,,,,,3934,4.0,4,,,,,,
,,,,,3939,5.0,5,,,,,,
,,,,,3946,7.0,7,,,,,,
,,,,,3951,5.0,5,,,,,,
,,,,,3977,26.0,26,,,,,,
,,,,,3985,8.0,8,,,,,,
,,,,,3988,3.0,3,,,,,,
,,,,,3994,6.0,6,,,,,,
,,,,,4005,11.0,11,,,,,,
,,,,,4010,5.0,5,,,,,,
,,,,,4025,15.0,15,,,,,,
,,,,,4039,14.0,14,,,,,,
,,,,,4053,14.0,14,,,,,,
,,,,,4058,5.0,5,,,,,,
,,,,,4067,9.0,9,,,,,,
,,,,,4079,12.0,12,,,,,,
,,,,,4083,4.0,4,,,,,,
,,,,,4094,11.0,11,,,,,,
,,,,,4098,4.0,4,,,,,,
,,,,,4111,13.0,13,,,,,,
,,,,,4114,3.0,3,,,,,,
,,,,,4121,7.0,7,,,,,,
,,,,,4132,11.0,11,,,,,,
,,,,,4136,4.0,4,,,,,,
,,,,,4147,11.0,11,,,,,,
,,,,,4152,5.0,5,,,,,,
,,,,,4161,9.0,9,,,,,,
,,,,,4170,9.0,9,,,,,,
,,,,,4175,5.0,5,,,,,,
,,,,,4181,6.0,6,,,,,,
,,,,,4184,3.0,3,,,,,,
,,,,,4188,4.0,4,,,,,,
,,,,,4203,15.0,15,,,,,,
,,,,,4219,16.0,16,,,,,,
,,,,,4235,16.0,16,,,,,,
,,,,,4242,7.0,7,,,,,,
,,,,,4246,4.0,4,,,,,,
,,,,,4250,4.0,4,,,,,,
,,,,,4258,8.0,8,,,,,,
,,,,,4267,9.0,9,,,,,,
,,,,,4281,14.0,14,,,,,,
,,,,,4287,6.0,6,,,,,,
,,,,,4293,6.0,6,,,,,,
,,,,,4307,14.0,14,,,,,,
,,,,,4315,8.0,8,,,,,,
,,,,,4324,9.0,9,,,,,,
,,,,,4331,7.0,7,,,,,,
,,,,,4337,6.0,6,,,,,,
,,,,,4340,3.0,3,,,,,,
,,,,,4363,23.0,23,,,,,,
,,,,,4366,3.0,3,,,,,,
,,,,,4370,4.0,4,,,,,,
,,,,,4374,4.0,4,,,,,,
,,,,,4378,4.0,4,,,,,,
,,,,,4387,9.0,9,,,,,,
,,,,,4394,7.0,7,,,,,,
,,,,,4398,4.0,4,,,,,,
,,,,,4406,8.0,8,,,,,,
,,,,,4410,4.0,4,,,,,,
,,,,,4415,5.0,5,,,,,,
,,,,,4419,4.0,4,,,,,,
,,,,,4429,10.0,10,,,,,,
,,,,,4436,7.0,7,,,,,,
,,,,,4440,4.0,4,,,,,,
,,,,,4445,5.0,5,,,,,,
,,,,,4450,5.0,5,,,,,,
,,,,,4454,4.0,4,,,,,,
,,,,,4460,6.0,6,,,,,,
,,,,,4466,6.0,6,,,,,,
,,,,,4471,5.0,5,,,,,,
,,,,,4475,4.0,4,,,,,,
,,,,,4480,5.0,5,,,,,,
,,,,,4490,10.0,10,,,,,,
,,,,,4495,5.0,5,,,,,,
,,,,,4500,5.0,5,,,,,,
,,,,,4503,3.0,3,,,,,,
,,,,,4506,3.0,3,,,,,,
,,,,,4510,4.0,4,,,,,,
,,,,,4514,4.0,4,,,,,,
,,,,,4519,5.0,5,,,,,,
,,,,,4527,8.0,8,,,,,,
,,,,,4533,6.0,6,,,,,,
,,,,,4541,8.0,8,,,,,,
,,,,,4544,3.0,3,,,,,,
,,,,,4548,4.0,4,,,,,,
,,,,,4553,5.0,5,,,,,,
,,,,,4563,10.0,10,,,,,,
,,,,,4568,5.0,5,,,,,,
,,,,,4572,4.0,4,,,,,,
,,,,,4585,13.0,13,,,,,,
,,,,,4591,6.0,6,,,,,,
,,,,,4599,8.0,8,,,,,,
,,,,,4603,4.0,4,,,,,,
,,,,,4608,5.0,5,,,,,,
,,,,,4613,5.0,5,,,,,,
,,,,,4618,5.0,5,,,,,,
,,,,,4622,4.0,4,,,,,,
,,,,,4628,6.0,6,,,,,,
,,,,,4633,5.0,5,,,,,,
,,,,,4640,7.0,7,,,,,,
,,,,,4646,6.0,6,,,,,,
,,,,,4651,5.0,5,,,,,,
,,,,,4656,5.0,5,,,,,,
,,,,,4665,9.0,9,,,,,,
,,,,,4670,5.0,5,,,,,,
,,,,,4679,9.0,9,,,,,,
,,,,,4684,5.0,5,,,,,,
,,,,,4688,4.0,4,,,,,,
,,,,,4693,5.0,5,,,,,,
,,,,,4696,3.0,3,,,,,,
,,,,,4700,4.0,4,,,,,,
,,,,,4704,4.0,4,,,,,,
,,,,,4713,9.0,9,,,,,,
,,,,,4718,5.0,5,,,,,,
