Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,2053,5.0,5,,,,,,,,,,
,,,,,2064,11.0,11,,,,,,,,,,
,,,,,2072,8.0,8,,,,,,,,,,
,,,,,2077,5.0,5,,,,,,,,,,
,,,,,2081,4.0,4,,,,,,,,,,
,,,,,2086,5.0,5,,,,,,,,,,
,,,,,2092,6.0,6,,,,,,,,,,
,,,,,2098,6.0,6,,,,,,,,,,
,,,,,2102,4.0,4,,,,,,,,,,
,,,,,2108,6.0,6,,,,,,,,,,
,,,,,2111,3.0,3,,,,,,,,,,
,,,,,2125,14.0,14,,,,,,,,,,
,,,,,2132,7.0,7,,,,,,,,,,
,,,,,2148,16.0,16,,,,,,,,,,
,,,,,2152,4.0,4,,,,,,,,,,
,,,,,2159,7.0,7,,,,,,,,,,
,,,,,2168,9.0,9,,,,,,,,,,
,,,,,2174,6.0,6,,,,,,,,,,
,,,,,2178,4.0,4,,,,,,,,,,
,,,,,2181,3.0,3,,,,,,,,,,
,,,,,2195,14.0,14,,,,,,,,,,
,,,,,2199,4.0,4,,,,,,,,,,
,,,,,2204,5.0,5,,,,,,,,,,
,,,,,2210,6.0,6,,,,,,,,,,
,,,,,2216,6.0,6,,,,,,,,,,
,,,,,2221,5.0,5,,,,,,,,,,
,,,,,2232,11.0,11,,,,,,,,,,
,,,,,2239,7.0,7,,,,,,,,,,
,,,,,2252,13.0,13,,,,,,,,,,
,,,,,2255,3.0,3,,,,,,,,,,
,,,,,2262,7.0,7,,,,,,,,,,
,,,,,2266,4.0,4,,,,,,,,,,
,,,,,2283,17.0,17,,,,,,,,,,
,,,,,2288,5.0,5,,,,,,,,,,
,,,,,2291,3.0,3,,,,,,,,,,
,,,,,2294,3.0,3,,,,,,,,,,
,,,,,2300,6.0,6,,,,,,,,,,
,,,,,2304,4.0,4,,,,,,,,,,
,,,,,2308,4.0,4,,,,,,,,,,
,,,,,2318,10.0,10,,,,,,,,,,
,,,,,2326,8.0,8,,,,,,,,,,
,,,,,2337,11.0,11,,,,,,,,,,
,,,,,2348,11.0,11,,,,,,,,,,
,,,,,2353,5.0,5,,,,,,,,,,
,,,,,2357,4.0,4,,,,,,,,,,
,,,,,2361,4.0,4,,,,,,,,,,
,,,,,2365,4.0,4,,,,,,,,,,
,,,,,2369,4.0,4,,,,,,,,,,
,,,,,2373,4.0,4,,,,,,,,,,
,,,,,2383,10.0,10,,,,,,,,,,
,,,,,2390,7.0,7,,,,,,,,,,
,,,,,2393,3.0,3,,,,,,,,,,
,,,,,2396,3.0,3,,,,,,,,,,
,,,,,2404,8.0,8,,,,,,,,,,
,,,,,2415,11.0,11,,,,,,,,,,
,,,,,2418,3.0,3,,,,,,,,,,
,,,,,2427,9.0,9,,,,,,,,,,
,,,,,2431,4.0,4,,,,,,,,,,
,,,,,2436,5.0,5,,,,,,,,,,
,,,,,2440,4.0,4,,,,,,,,,,
,,,,,2453,13.0,13,,,,,,,,,,
,,,,,2463,10.0,10,,,,,,,,,,
,,,,,2467,4.0,4,,,,,,,,,,
,,,,,2473,6.0,6,,,,,,,,,,
,,,,,2482,9.0,9,,,,,,,,,,
,,,,,2485,3.0,3,,,,,,,,,,
,,,,,2494,9.0,9,,,,,,,,,,
,,,,,2501,7.0,7,,,,,,,,,,
,,,,,2508,7.0,7,,,,,,,,,,
,,,,,2518,10.0,10,,,,,,,,,,
,,,,,2526,8.0,8,,,,,,,,,,
,,,,,2534,8.0,8,,,,,,,,,,
,,,,,2545,11.0,11,,,,,,,,,,
,,,,,2556,11.0,11,,,,,,,,,,
,,,,,2559,3.0,3,,,,,,,,,,
,,,,,2571,12.0,12,,,,,,,,,,
,,,,,2579,8.0,8,,,,,,,,,,
,,,,,2583,4.0,4,,,,,,,,,,
,,,,,2588,5.0,5,,,,,,,,,,
,,,,,2594,6.0,6,,,,,,,,,,
,,,,,2598,4.0,4,,,,,,,,,,
,,,,,2608,10.0,10,,,,,,,,,,
,,,,,2612,4.0,4,,,,,,,,,,
,,,,,2619,7.0,7,,,,,,,,,,
,,,,,2625,6.0,6,,,,,,,,,,
,,,,,2632,7.0,7,,,,,,,,,,
,,,,,2638,6.0,6,,,,,,,,,,
,,,,,2669,31.0,31,,,,,,,,,,
,,,,,2678,9.0,9,,,,,,,,,,
,,,,,2681,3.0,3,,,,,,,,,,
,,,,,2684,3.0,3,,,,,,,,,,
,,,,,2690,6.0,6,,,,,,,,,,
,,,,,2698,8.0,8,,,,,,,,,,
,,,,,2703,5.0,5,,,,,,,,,,
,,,,,2707,4.0,4,,,,,,,,,,
,,,,,2711,4.0,4,,,,,,,,,,
,,,,,2722,11.0,11,,,,,,,,,,
,,,,,2737,15.0,15,,,,,,,,,,
,,,,,2745,8.0,8,,,,,,,,,,
,,,,,2762,17.0,17,,,,,,,,,,
,,,,,2771,9.0,9,,,,,,,,,,
,,,,,2777,6.0,6,,,,,,,,,,
,,,,,2781,4.0,4,,,,,,,,,,
,,,,,2788,7.0,7,,,,,,,,,,
,,,,,2792,4.0,4,,,,,,,,,,
,,,,,2798,6.0,6,,,,,,,,,,
,,,,,2803,5.0,5,,,,,,,,,,
,,,,,2825,22.0,22,,,,,,,,,,
,,,,,2830,5.0,5,,,,,,,,,,
,,,,,2839,9.0,9,,,,,,,,,,
,,,,,2843,4.0,4,,,,,,,,,,
,,,,,2846,3.0,3,,,,,,,,,,
,,,,,2849,3.0,3,,,,,,,,,,
,,,,,2854,5.0,5,,,,,,,,,,
,,,,,2861,7.0,7,,,,,,,,,,
,,,,,2868,7.0,7,,,,,,,,,,
,,,,,2873,5.0,5,,,,,,,,,,
,,,,,2878,5.0,5,,,,,,,,,,
,,,,,2883,5.0,5,,,,,,,,,,
,,,,,2891,8.0,8,,,,,,,,,,
,,,,,2906,15.0,15,,,,,,,,,,
,,,,,2922,16.0,16,,,,,,,,,,
,,,,,2925,3.0,3,,,,,,,,,,
,,,,,2932,7.0,7,,,,,,,,,,
,,,,,2938,6.0,6,,,,,,,,,,
,,,,,2947,9.0,9,,,,,,,,,,
,,,,,2952,5.0,5,,,,,,,,,,
,,,,,2960,8.0,8,,,,,,,,,,
,,,,,2972,12.0,12,,,,,,,,,,
,,,,,2980,8.0,8,,,,,,,,,,
,,,,,2984,4.0,4,,,,,,,,,,
,,,,,2991,7.0,7,,,,,,,,,,
,,,,,2997,6.0,6,,,,,,,,,,
,,,,,3005,8.0,8,,,,,,,,,,
,,,,,3015,10.0,10,,,,,,,,,,
,,,,,3025,10.0,10,,,,,,,,,,
,,,,,3037,12.0,12,,,,,,,,,,
,,,,,3045,8.0,8,,,,,,,,,,
,,,,,3053,8.0,8,,,,,,,,,,
,,,,,3059,6.0,6,,,,,,,,,,
,,,,,3071,12.0,12,,,,,,,,,,
,,,,,3076,5.0,5,,,,,,,,,,
,,,,,3085,9.0,9,,,,,,,,,,
,,,,,3093,8.0,8,,,,,,,,,,
,,,,,3099,6.0,6,,,,,,,,,,
,,,,,3104,5.0,5,,,,,,,,,,
,,,,,3108,4.0,4,,,,,,,,,,
,,,,,3115,7.0,7,,,,,,,,,,
,,,,,3121,6.0,6,,,,,,,,,,
,,,,,3125,4.0,4,,,,,,,,,,
,,,,,3128,3.0,3,,,,,,,,,,
,,,,,3131,3.0,3,,,,,,,,,,
,,,,,3135,4.0,4,,,,,,,,,,
,,,,,3148,13.0,13,,,,,,,,,,
,,,,,3155,7.0,7,,,,,,,,,,
,,,,,3164,9.0,9,,,,,,,,,,
,,,,,3168,4.0,4,,,,,,,,,,
,,,,,3187,19.0,19,,,,,,,,,,
,,,,,3191,4.0,4,,,,,,,,,,
,,,,,3194,3.0,3,,,,,,,,,,
,,,,,3198,4.0,4,,,,,,,,,,
,,,,,3203,5.0,5,,,,,,,,,,
,,,,,3207,4.0,4,,,,,,,,,,
,,,,,3210,3.0,3,,,,,,,,,,
,,,,,3214,4.0,4,,,,,,,,,,
,,,,,3223,9.0,9,,,,,,,,,,
,,,,,3229,6.0,6,,,,,,,,,,
,,,,,3235,6.0,6,,,,,,,,,,
,,,,,3238,3.0,3,,,,,,,,,,
,,,,,3242,4.0,4,,,,,,,,,,
,,,,,3247,5.0,5,,,,,,,,,,
,,,,,3252,5.0,5,,,,,,,,,,
,,,,,3255,3.0,3,,,,,,,,,,
,,,,,3264,9.0,9,,,,,,,,,,
,,,,,3271,7.0,7,,,,,,,,,,
,,,,,3274,3.0,3,,,,,,,,,,
,,,,,3282,8.0,8,,,,,,,,,,
,,,,,3288,6.0,6,,,,,,,,,,
,,,,,3296,8.0,8,,,,,,,,,,
,,,,,3305,9.0,9,,,,,,,,,,
,,,,,3308,3.0,3,,,,,,,,,,
,,,,,3311,3.0,3,,,,,,,,,,
,,,,,3317,6.0,6,,,,,,,,,,
,,,,,3321,4.0,4,,,,,,,,,,
,,,,,3334,13.0,13,,,,,,,,,,
,,,,,3342,8.0,8,,,,,,,,,,
,,,,,3358,16.0,16,,,,,,,,,,
,,,,,3362,4.0,4,,,,,,,,,,
,,,,,3373,11.0,11,,,,,,,,,,
,,,,,3387,14.0,14,,,,,,,,,,
,,,,,3400,13.0,13,,,,,,,,,,
,,,,,3403,3.0,3,,,,,,,,,,
,,,,,3414,11.0,11,,,,,,,,,,
,,,,,3418,4.0,4,,,,,,,,,,
,,,,,3428,10.0,10,,,,,,,,,,
,,,,,3436,8.0,8,,,,,,,,,,
,,,,,3444,8.0,8,,,,,,,,,,
,,,,,3457,13.0,13,,,,,,,,,,
,,,,,3466,9.0,9,,,,,,,,,,
,,,,,3475,9.0,9,,,,,,,,,,
,,,,,3486,11.0,11,,,,,,,,,,
,,,,,3492,6.0,6,,,,,,,,,,
,,,,,3500,8.0,8,,,,,,,,,,
,,,,,3507,7.0,7,,,,,,,,,,
,,,,,3512,5.0,5,,,,,,,,,,
,,,,,3527,15.0,15,,,,,,,,,,
,,,,,3530,3.0,3,,,,,,,,,,
,,,,,3540,10.0,10,,,,,,,,,,
,,,,,3544,4.0,4,,,,,,,,,,
,,,,,3551,7.0,7,,,,,,,,,,
,,,,,3561,10.0,10,,,,,,,,,,
,,,,,3565,4.0,4,,,,,,,,,,
,,,,,3575,10.0,10,,,,,,,,,,
,,,,,3590,15.0,15,,,,,,,,,,
,,,,,3595,5.0,5,,,,,,,,,,
,,,,,3609,14.0,14,,,,,,,,,,
,,,,,3613,4.0,4,,,,,,,,,,
,,,,,3617,4.0,4,,,,,,,,,,
,,,,,3625,8.0,8,,,,,,,,,,
,,,,,3631,6.0,6,,,,,,,,,,
,,,,,3634,3.0,3,,,,,,,,,,
,,,,,3637,3.0,3,,,,,,,,,,
,,,,,3647,10.0,10,,,,,,,,,,
,,,,,3654,7.0,7,,,,,,,,,,
,,,,,3658,4.0,4,,,,,,,,,,
,,,,,3662,4.0,4,,,,,,,,,,
,,,,,3667,5.0,5,,,,,,,,,,
,,,,,3671,4.0,4,,,,,,,,,,
,,,,,3676,5.0,5,,,,,,,,,,
,,,,,3679,3.0,3,,,,,,,,,,
,,,,,3686,7.0,7,,,,,,,,,,
,,,,,3695,9.0,9,,,,,,,,,,
,,,,,3703,8.0,8,,,,,,,,,,
,,,,,3709,6.0,6,,,,,,,,,,
,,,,,3713,4.0,4,,,,,,,,,,
,,,,,3721,8.0,8,,,,,,,,,,
,,,,,3725,4.0,4,,,,,,,,,,
,,,,,3733,8.0,8,,,,,,,,,,
,,,,,3739,6.0,6,,,,,,,,,,
,,,,,3763,24.0,24,,,,,,,,,,
,,,,,3781,18.0,18,,,,,,,,,,
,,,,,3786,5.0,5,,,,,,,,,,
,,,,,3803,17.0,17,,,,,,,,,,
