Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,18000,,,0.5597499012947083,14.010528564453125,13.920801162719727,4.7028117179870605,0.45999999999999996,0.0005
,,,,,18021,109.0,109,,,,,,
,,,,,18041,20.0,20,,,,,,
,,,,,18060,19.0,19,,,,,,
,,,,,18116,56.0,56,,,,,,
,,,,,18129,13.0,13,,,,,,
,,,,,18147,18.0,18,,,,,,
,,,,,18174,27.0,27,,,,,,
,,,,,18195,21.0,21,,,,,,
,,,,,18265,70.0,70,,,,,,
,,,,,18289,24.0,24,,,,,,
,,,,,18302,13.0,13,,,,,,
,,,,,18326,24.0,24,,,,,,
,,,,,18340,14.0,14,,,,,,
,,,,,18406,66.0,66,,,,,,
,,,,,18426,20.0,20,,,,,,
,,,,,18446,20.0,20,,,,,,
,,,,,18459,13.0,13,,,,,,
,,,,,18472,13.0,13,,,,,,
,,,,,18577,105.0,105,,,,,,
,,,,,18599,22.0,22,,,,,,
,,,,,18613,14.0,14,,,,,,
,,,,,18643,30.0,30,,,,,,
,,,,,18709,66.0,66,,,,,,
,,,,,18855,146.0,146,,,,,,
,,,,,18866,11.0,11,,,,,,
,,,,,18907,41.0,41,,,,,,
,,,,,18919,12.0,12,,,,,,
,,,,,18943,24.0,24,,,,,,
,,,,,18968,25.0,25,,,,,,
,,,,,19000,,,0.2807767987251282,15.586051940917969,15.544462203979492,3.9966001510620117,0.43000000000000005,0.0005
,,,,,19051,83.0,83,,,,,,
,,,,,19092,41.0,41,,,,,,
,,,,,19195,103.0,103,,,,,,
,,,,,19302,107.0,107,,,,,,
,,,,,19413,111.0,111,,,,,,
,,,,,19444,31.0,31,,,,,,
,,,,,19545,101.0,101,,,,,,
,,,,,19619,74.0,74,,,,,,
,,,,,19653,34.0,34,,,,,,
,,,,,19673,20.0,20,,,,,,
,,,,,19685,12.0,12,,,,,,
,,,,,19733,48.0,48,,,,,,
,,,,,19768,35.0,35,,,,,,
,,,,,19796,28.0,28,,,,,,
,,,,,19817,21.0,21,,,,,,
,,,,,19832,15.0,15,,,,,,
,,,,,19849,17.0,17,,,,,,
,,,,,19873,24.0,24,,,,,,
,,,,,19889,16.0,16,,,,,,
,,,,,19905,16.0,16,,,,,,
,,,,,19987,82.0,82,,,,,,
141.8,23.421356,202.0,119.0,141.8,20000,,,0.07280891388654709,16.05803871154785,16.124366760253906,2.3789114952087402,0.4,0.0005
,,,,,20024,37.0,37,,,,,,
,,,,,20093,69.0,69,,,,,,
,,,,,20187,94.0,94,,,,,,
